File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Solver\Simple.cpp,26,2,0,0,2,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Solver\PETSC_Solver.h,121,48,35,0,28,10,45,228,25,103
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Solver\SIMPLE.h,59,17,8,0,10,2,32,179,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Solver\Solver.h,254,120,75,12,49,11,85,471,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tests\AplicNastran.cpp,12,7,4,0,5,0,0,0,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tests\CDTest.cpp,60,22,18,0,29,1,9,23,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tests\Temp.cpp,72,37,33,0,15,1,20,71,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tests\TempTests.cpp,101,56,49,2,37,2,8,30,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tests\CDTest.h,7,4,1,0,3,0,0,0,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tmp\Tmp-.h,104,30,21,0,40,1,34,270,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Tmp\TmpI-.h,256,164,63,28,46,1,46,260,2,34
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Operations.cpp,35,9,5,2,4,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Scalar.cpp,169,99,65,19,40,3,30,133,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Vec3d.cpp,379,271,199,49,61,0,47,175,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Matrix.h,44,15,5,0,6,1,23,113,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Operations.h,118,10,3,0,24,1,84,344,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Products.h,73,28,9,0,15,1,30,291,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\pTraits.h,71,22,6,0,15,1,34,240,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Scalar.h,195,117,72,7,35,12,43,244,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Tensor.h,40,10,7,0,6,0,24,109,22,101
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\TensorI.h,842,609,172,60,163,1,70,632,22,101
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Vec3d.h,218,119,81,9,49,12,50,258,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Type\Vec3dI.h,37,6,5,0,5,1,26,119,22,101
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\UDO\FileSearch.cpp,67,27,19,5,12,0,28,157,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\UDO\FileSearch.h,54,20,5,0,11,3,23,112,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Utils\Utils.cpp,147,51,30,12,18,1,78,255,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Utils\Utils.h,143,67,34,12,26,2,50,214,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Utils\Searching-Files\Searching-Files.cpp,49,37,23,7,10,1,2,32,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Variables\Variable.h,26,12,10,0,9,2,5,37,0,0
